Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Dallas Cowboys,DAL,DST,17,41,2.41,26,1.53,8,0.47,13,0.76,0,0.0,6,0.35,3,0.18,185.0,10.88,8.0,7.37,10.26,1,4,4,3,5,2.4,8.0,11.42,185.0,10.88,8.0,7.37,10.26,1,4,4,3,5,2.4,8.0,11.42,185.0,10.88,8.0,7.37,10.26,1,4,4,3,5,2.4,8.0,11.42
Indianapolis Colts,IND,DST,17,33,1.94,19,1.12,14,0.82,17,1.0,1,0.06,1,0.06,2,0.12,138.0,8.12,7.0,5.07,8.41,1,5,4,3,4,1.83,7.0,9.6,138.0,8.12,7.0,5.07,8.41,1,5,4,3,4,1.83,7.0,9.6,138.0,8.12,7.0,5.07,8.41,1,5,4,3,4,1.83,7.0,9.6
New England Patriots,NE,DST,17,36,2.12,23,1.35,7,0.41,11,0.65,0,0.0,3,0.18,0,0.0,158.0,9.29,8.0,7.9,8.62,2,6,1,4,4,1.12,4.0,9.04,158.0,9.29,8.0,7.9,8.62,2,6,1,4,4,1.12,4.0,9.04,158.0,9.29,8.0,7.9,8.62,2,6,1,4,4,1.12,4.0,9.04
New Orleans Saints,NO,DST,17,46,2.71,18,1.06,7,0.41,12,0.71,0,0.0,2,0.12,0,0.0,145.0,8.53,6.0,5.93,8.49,0,6,5,1,5,1.83,6.0,8.94,145.0,8.53,6.0,5.93,8.49,0,6,5,1,5,1.83,6.0,8.94,145.0,8.53,6.0,5.93,8.49,0,6,5,1,5,1.83,6.0,8.94
Buffalo Bills,BUF,DST,17,42,2.47,19,1.12,11,0.65,10,0.59,0,0.0,1,0.06,0,0.0,151.0,8.88,8.0,7.42,8.36,3,3,4,3,4,1.83,2.33,8.86,151.0,8.88,8.0,7.42,8.36,3,3,4,3,4,1.83,2.33,8.86,151.0,8.88,8.0,7.42,8.36,3,3,4,3,4,1.83,2.33,8.86
Tampa Bay Buccaneers,TB,DST,17,47,2.76,17,1.0,12,0.71,15,0.88,0,0.0,2,0.12,0,0.0,141.0,8.29,7.0,6.21,8.16,2,4,5,3,3,1.83,3.0,8.49,141.0,8.29,7.0,6.21,8.16,2,4,5,3,3,1.83,3.0,8.49,141.0,8.29,7.0,6.21,8.16,2,4,5,3,3,1.83,3.0,8.49
Los Angeles Rams,LAR,DST,17,50,2.94,19,1.12,6,0.35,13,0.76,0,0.0,0,0.0,1,0.06,121.0,7.12,7.0,4.28,7.69,2,3,8,3,1,2.4,2.0,8.31,121.0,7.12,7.0,4.28,7.69,2,3,8,3,1,2.4,2.0,8.31,121.0,7.12,7.0,4.28,7.69,2,3,8,3,1,2.4,2.0,8.31
San Francisco 49ers,SF,DST,17,48,2.82,9,0.53,11,0.65,21,1.24,0,0.0,2,0.12,0,0.0,118.0,6.94,8.0,4.02,7.62,2,5,7,2,1,1.43,1.5,8.12,118.0,6.94,8.0,4.02,7.62,2,5,7,2,1,1.43,1.5,8.12,118.0,6.94,8.0,4.02,7.62,2,5,7,2,1,1.43,1.5,8.12
Kansas City Chiefs,KC,DST,17,31,1.82,15,0.88,14,0.82,18,1.06,0,0.0,4,0.24,0,0.0,131.0,7.71,7.0,6.53,7.49,2,5,5,2,3,1.43,2.5,7.86,131.0,7.71,7.0,6.53,7.49,2,5,5,2,3,1.43,2.5,7.86,131.0,7.71,7.0,6.53,7.49,2,5,5,2,3,1.43,2.5,7.86
Arizona Cardinals,ARI,DST,17,41,2.41,13,0.76,14,0.82,20,1.18,0,0.0,2,0.12,0,0.0,126.0,7.41,7.0,5.77,7.43,2,6,3,4,2,1.12,3.0,7.81,126.0,7.41,7.0,5.77,7.43,2,6,3,4,2,1.12,3.0,7.81,126.0,7.41,7.0,5.77,7.43,2,6,3,4,2,1.12,3.0,7.81
