Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jonathan Taylor,IND,RB,1.0,17,332,19.53,1811,106.53,5.45,83,33.71,30,1.76,18,1.06,40,2.35,51,3.0,360,21.18,9.0,2,0.12,372,21.88,383,22.53,2,0.12,0.01,1.0,333.1,19.59,17.4,11.01,17.37,1,1,3,4,8,7.5,12.0,24.65,353.1,20.77,18.9,11.05,18.65,1,1,3,5,7,7.5,12.0,25.9,373.1,21.95,20.4,11.17,20.23,1,2,1,6,7,4.67,13.0,26.12
Austin Ekeler,LAC,RB,1.0,16,206,12.88,911,56.94,4.42,28,14.06,3,0.19,12,0.75,70,4.38,94,5.88,647,40.44,9.24,8,0.5,276,17.25,300,18.75,3,0.19,0.01,1.0,273.8,17.11,15.15,7.81,16.53,1,1,3,6,5,7.0,11.0,22.38,308.8,19.3,18.35,8.14,18.71,0,2,3,6,5,7.0,11.0,24.8,343.8,21.49,21.05,8.58,21.15,0,3,2,4,7,4.33,11.0,25.78
Derrick Henry,TEN,RB,1.0,8,219,27.38,937,117.12,4.28,76,28.88,9,1.12,10,1.25,18,2.25,20,2.5,154,19.25,8.56,0,0.0,237,29.62,239,29.88,0,0.0,0.0,0.88,175.3,21.91,20.05,12.71,18.74,0,2,0,2,4,3.0,6.0,20.73,184.3,23.04,21.3,13.14,19.81,1,1,0,2,4,3.0,6.0,21.65,193.3,24.16,22.55,13.63,21.19,1,1,1,1,4,3.0,5.0,22.48
Alvin Kamara,NO,RB,1.0,13,240,18.46,898,69.08,3.74,30,15.69,4,0.31,4,0.31,47,3.62,67,5.15,439,33.77,9.34,5,0.38,287,22.08,307,23.62,0,0.0,0.0,1.0,187.7,14.44,16.0,6.96,14.36,3,0,1,6,3,3.33,3.0,18.44,211.2,16.25,17.2,7.69,15.97,3,0,1,6,3,3.33,3.0,19.71,234.7,18.05,18.2,8.52,17.81,3,0,2,5,3,3.33,2.67,20.9
Najee Harris,PIT,RB,1.0,17,307,18.06,1200,70.59,3.91,37,15.41,8,0.47,7,0.41,74,4.35,94,5.53,467,27.47,6.31,3,0.18,381,22.41,401,23.59,0,0.0,0.0,1.0,226.7,13.34,13.8,6.69,13.39,4,0,4,4,5,3.25,2.25,16.78,263.7,15.51,15.3,6.99,15.62,3,1,3,5,5,3.25,3.33,18.73,300.7,17.69,17.3,7.55,17.98,3,1,2,6,5,3.25,3.67,20.78
Joe Mixon,CIN,RB,1.0,16,292,18.25,1205,75.31,4.13,32,16.75,7,0.44,13,0.81,42,2.62,48,3.0,314,19.62,7.48,3,0.19,334,20.88,340,21.25,1,0.06,0.0,1.0,245.9,15.37,12.3,7.78,14.86,0,6,3,0,7,1.67,7.0,16.93,266.9,16.68,12.65,8.4,16.04,1,5,3,0,7,1.67,7.0,17.62,287.9,17.99,14.65,9.12,17.45,1,6,2,0,7,1.29,7.0,18.96
Josh Jacobs,LV,RB,1.0,15,217,14.47,872,58.13,4.02,28,12.93,2,0.13,9,0.6,54,3.6,64,4.27,348,23.2,6.44,0,0.0,271,18.07,281,18.73,2,0.13,0.01,1.0,172.0,11.47,12.7,4.91,12.44,3,2,4,5,1,2.0,2.0,14.69,199.0,13.27,14.3,4.62,14.81,1,3,6,4,1,2.75,5.0,17.6,226.0,15.07,15.2,4.56,17.37,0,5,4,4,2,2.0,6.0,19.03
Christian McCaffrey,SF,RB,1.0,7,99,14.14,442,63.14,4.46,18,14.14,0,0.0,1,0.14,37,5.29,41,5.86,343,49.0,9.27,1,0.14,136,19.43,140,20.0,0,0.0,0.0,0.84,90.5,12.93,16.1,6.93,12.87,2,0,1,2,2,2.5,2.0,14.05,109.0,15.57,21.1,8.49,14.93,2,0,1,0,4,2.5,2.0,16.71,127.5,18.21,24.7,10.15,17.2,2,0,1,0,4,2.5,2.0,18.92
James Conner,ARI,RB,1.0,15,202,13.47,752,50.13,3.72,35,14.53,4,0.27,15,1.0,37,2.47,39,2.6,375,25.0,10.14,3,0.2,239,15.93,241,16.07,0,0.0,0.0,1.0,220.7,14.71,14.2,8.37,13.97,2,2,3,4,4,2.75,4.0,16.66,239.2,15.95,14.2,9.34,14.93,2,3,3,4,3,2.0,3.5,16.59,257.7,17.18,15.4,10.4,16.12,2,3,3,4,3,2.0,3.5,17.67
Leonard Fournette,FA,RB,1.0,14,180,12.86,812,58.0,4.51,47,15.21,7,0.5,8,0.57,69,4.93,84,6.0,454,32.43,6.58,2,0.14,249,17.79,264,18.86,0,0.0,0.0,1.0,186.6,13.33,11.55,9.25,12.34,3,4,0,4,3,1.0,2.33,13.72,221.1,15.79,14.3,9.54,14.71,2,4,1,4,3,1.33,3.5,16.48,255.6,18.26,16.95,9.92,17.34,2,2,2,4,4,2.5,4.0,19.56
Dalvin Cook,MIN,RB,1.0,13,249,19.15,1159,89.15,4.65,66,21.85,14,1.08,6,0.46,34,2.62,49,3.77,224,17.23,6.59,0,0.0,283,21.77,298,22.92,2,0.15,0.01,1.0,172.3,13.25,12.2,8.52,12.53,2,4,1,3,3,1.17,3.0,14.75,189.3,14.56,13.7,8.46,13.98,2,3,2,3,3,1.6,3.0,16.3,206.3,15.87,15.2,8.48,15.67,3,2,2,3,3,1.6,2.0,17.48
D'Andre Swift,DET,RB,2.0,13,151,11.62,617,47.46,4.09,57,16.69,7,0.54,5,0.38,62,4.77,78,6.0,452,34.77,7.29,2,0.15,213,16.38,229,17.62,1,0.08,0.0,1.0,146.9,11.3,12.7,6.61,11.38,4,1,2,4,2,1.6,1.5,13.77,177.9,13.68,15.0,7.22,13.66,4,1,2,2,4,1.6,1.5,15.84,208.9,16.07,16.5,7.92,16.14,2,3,2,1,5,1.6,3.0,18.0
