,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Saquon Barkley (NYG),2022,1,18,164,9.1,68,6,1,6,7,30,5.0,0,0,27.4
Jonathan Taylor (IND),2022,1,31,161,5.2,17,0,1,4,7,14,3.5,0,0,23.5
D'Andre Swift (DET),2022,1,15,144,9.6,50,4,1,3,3,31,10.3,0,0,23.5
Cordarrelle Patterson (ATL),2022,1,22,120,5.5,15,0,1,3,5,16,5.3,0,0,19.6
Clyde Edwards-Helaire (KC),2022,1,7,42,6.0,18,0,0,3,3,32,10.7,2,0,19.4
Kareem Hunt (FA),2022,1,11,46,4.2,24,1,1,4,4,24,6.0,1,0,19.0
James Robinson (NE),2022,1,11,66,6.0,22,1,1,1,2,3,3.0,1,0,18.9
Dontrell Hilliard (FA),2022,1,2,8,4.0,5,0,0,3,4,61,20.3,2,0,18.9
Miles Sanders (CAR),2022,1,13,96,7.4,24,2,1,2,2,9,4.5,0,0,16.5
AJ Dillon (GB),2022,1,10,45,4.5,14,0,1,5,6,46,9.2,0,0,15.1
Jamaal Williams (NO),2022,1,11,28,2.5,7,0,2,1,2,2,2.0,0,0,15.0
Joe Mixon (CIN),2022,1,27,82,3.0,31,2,0,7,9,63,9.0,0,0,14.5
Nick Chubb (CLE),2022,1,22,141,6.4,25,2,0,1,1,2,2.0,0,0,14.3
Leonard Fournette (FA),2022,1,21,127,6.0,17,0,0,2,2,10,5.0,0,0,13.7
Antonio Gibson (WAS),2022,1,14,58,4.1,13,0,0,7,8,72,10.3,0,0,13.0
Isiah Pacheco (KC),2022,1,12,62,5.2,22,1,1,0,0,0,0.0,0,0,12.2
Christian McCaffrey (SF),2022,1,10,33,3.3,9,0,1,4,5,24,6.0,0,0,11.7
James Conner (ARI),2022,1,10,26,2.6,8,0,1,5,6,29,5.8,0,0,11.5
Dalvin Cook (MIN),2022,1,20,90,4.5,16,0,0,3,5,18,6.0,0,0,10.8
Khalil Herbert (CHI),2022,1,9,45,5.0,12,0,1,1,1,-2,-2.0,0,0,10.3
Michael Carter (NYJ),2022,1,10,60,6.0,22,1,0,7,9,40,5.7,0,0,10.0
Kenneth Gainwell (PHI),2022,1,5,20,4.0,7,0,1,2,4,12,6.0,0,0,9.2
Javonte Williams (DEN),2022,1,7,43,6.1,13,0,0,11,12,65,5.9,0,1,8.8
Brandon Bolden (LV),2022,1,3,7,2.3,5,0,0,2,2,21,10.5,1,0,8.8
Najee Harris (PIT),2022,1,10,23,2.3,11,0,0,2,2,3,1.5,1,0,8.6
Derrick Henry (TEN),2022,1,21,82,3.9,18,0,0,0,1,0,0.0,0,0,8.2
Aaron Jones (GB),2022,1,5,49,9.8,29,1,0,3,5,27,9.0,0,0,7.6
Darrell Henderson Jr. (FA),2022,1,13,47,3.6,18,0,0,5,5,26,5.2,0,0,7.3
Josh Jacobs (LV),2022,1,10,57,5.7,18,0,0,1,1,16,16.0,0,0,7.3
Ty Montgomery (NE),2022,1,2,-2,-1.0,0,0,0,3,4,15,5.0,1,0,7.3
Austin Ekeler (LAC),2022,1,14,36,2.6,8,0,0,4,4,36,9.0,0,0,7.2
Rex Burkhead (FA),2022,1,14,40,2.9,8,0,0,5,8,30,6.0,0,0,7.0
Boston Scott (PHI),2022,1,4,10,2.5,8,0,1,0,0,0,0.0,0,0,7.0
Zander Horvath (LAC),2022,1,1,2,2.0,2,0,0,2,2,6,3.0,1,0,6.8
Rashaad Penny (PHI),2022,1,12,60,5.0,26,1,0,2,3,7,3.5,0,0,6.7
Chase Edmonds (TB),2022,1,12,25,2.1,7,0,0,4,4,40,10.0,0,0,6.5
Travis Etienne Jr. (JAC),2022,1,4,47,11.8,27,1,0,2,4,18,9.0,0,0,6.5
Devin Singletary (HOU),2022,1,8,48,6.0,13,0,0,2,2,14,7.0,0,0,6.2
Eno Benjamin (NO),2022,1,4,28,7.0,16,0,0,3,4,33,11.0,0,0,6.1
Damien Harris (BUF),2022,1,9,48,5.3,12,0,0,2,3,10,5.0,0,0,5.8
Nyheim Hines (BUF),2022,1,3,4,1.3,3,0,0,6,6,50,8.3,0,0,5.4
Melvin Gordon III (FA),2022,1,12,58,4.8,13,0,0,2,2,14,7.0,0,1,5.2
David Montgomery (DET),2022,1,17,26,1.5,6,0,0,3,4,24,8.0,0,0,5.0
Ezekiel Elliott (FA),2022,1,10,52,5.2,7,0,0,1,2,-3,-3.0,0,0,4.9
Jerick McKinnon (FA),2022,1,4,22,5.5,18,0,0,3,4,27,9.0,0,0,4.9
J.D. McKissic (FA),2022,1,3,8,2.7,5,0,0,3,3,20,6.7,0,0,4.8
Kenyan Drake (FA),2022,1,11,31,2.8,8,0,0,1,1,15,15.0,0,0,4.6
Alvin Kamara (NO),2022,1,9,39,4.3,15,0,0,3,4,7,2.3,0,0,4.6
Elijah Mitchell (SF),2022,1,6,41,6.8,16,0,0,0,0,0,0.0,0,0,4.1
Breece Hall (NYJ),2022,1,6,23,3.8,14,0,0,6,9,38,6.3,0,1,4.1
Dameon Pierce (HOU),2022,1,11,33,3.0,8,0,0,1,1,6,6.0,0,0,3.9
Samaje Perine (DEN),2022,1,1,4,4.0,4,0,0,3,5,33,11.0,0,0,3.7
Alexander Mattison (MIN),2022,1,8,36,4.5,10,0,0,0,0,0,0.0,0,0,3.6
Joshua Kelley (LAC),2022,1,4,21,5.3,12,0,0,2,2,14,7.0,0,0,3.5
Raheem Mostert (MIA),2022,1,5,16,3.2,11,0,0,1,1,16,16.0,0,0,3.2
Jeff Wilson Jr. (MIA),2022,1,9,22,2.4,5,0,0,2,2,8,4.0,0,0,3.0
Rhamondre Stevenson (NE),2022,1,8,25,3.1,12,0,0,2,2,2,1.0,0,0,2.7
Matt Breida (NYG),2022,1,5,24,4.8,9,0,0,0,0,0,0.0,0,0,2.4
Tony Pollard (DAL),2022,1,6,8,1.3,9,0,0,2,2,14,7.0,0,0,2.2
Rachaad White (TB),2022,1,6,14,2.3,5,0,0,2,2,7,3.5,0,0,2.1
Zack Moss (IND),2022,1,6,15,2.5,8,0,0,6,6,21,3.5,0,1,1.6
Sony Michel (FA),2022,1,7,12,1.7,6,0,0,0,0,0,0.0,0,0,1.2
Mike Davis (FA),2022,1,2,11,5.5,10,0,0,0,0,0,0.0,0,0,1.1
Justice Hill (BAL),2022,1,2,4,2.0,3,0,0,2,2,7,3.5,0,0,1.1
Alec Ingold (MIA),2022,1,1,2,2.0,2,0,0,1,2,8,8.0,0,0,1.0
Jaylen Warren (PIT),2022,1,3,7,2.3,3,0,0,0,1,0,0.0,0,0,0.7
Patrick Ricard (BAL),2022,1,0,0,0.0,0,0,0,1,1,7,7.0,0,0,0.7
C.J. Ham (MIN),2022,1,0,0,0.0,0,0,0,1,1,6,6.0,0,0,0.6
D'Onta Foreman (CHI),2022,1,2,5,2.5,4,0,0,0,0,0,0.0,0,0,0.5
Mark Ingram II (FA),2022,1,4,22,5.5,7,0,0,1,1,1,1.0,0,1,0.3
Chuba Hubbard (CAR),2022,1,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Mike Boone (HOU),2022,1,0,0,0.0,0,0,0,1,1,2,2.0,0,0,0.2
Damien Williams (FA),2022,1,2,2,1.0,2,0,0,0,0,0,0.0,0,0,0.2
Travis Homer (CHI),2022,1,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Jakob Johnson (LV),2022,1,0,0,0.0,0,0,0,1,1,1,1.0,0,0,0.1
Demetric Felton Jr. (CLE),2022,1,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Jermar Jefferson (DET),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Benny Snell Jr. (FA),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Qadree Ollison (JAC),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Beck (HOU),2022,1,0,0,0.0,0,0,0,2,3,52,26.0,0,0,0.0
Rico Dowdle (DAL),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jonathan Ward (TEN),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Giovanni Ricci (CAR),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cam Akers (LAR),2022,1,3,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
D'Ernest Johnson (JAC),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
DeeJay Dallas (SEA),2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
